CID100000085	C[N+](C)(C)CC(O)CC(=O)[O-]
CID100003143	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
CID100003148	O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
CID100003151	O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
CID100003152	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CID100003154	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CID100003155	CN(C)CC/C=C1/c2ccccc2CSc2ccccc21
CID100003156	CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
CID100003157	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
CID100003158	CN(C)CC/C=C1\c2ccccc2COc2ccccc21
CID100003168	O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
CID100003171	N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
CID100003182	Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
CID100003198	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
CID100003199	COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4
CID100003202	CC[N+](C)(C)c1cccc(O)c1
CID100003203	O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
CID100003209	CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O
CID100003219	CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21
CID100003226	FC(F)OC(F)(F)C(F)Cl
CID100003241	NC1=NCC2c3ccccc3Cc3ccccc3N12
CID100003250	C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
CID100003251	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
CID100003255	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
CID100003256	NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
CID100003261	Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
CID100003263	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CID100003267	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CID100003268	C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CID100003269	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
CID100003279	CC[C@@H](CO)NCCN[C@@H](CC)CO
CID100003291	CCC1(C)CC(=O)NC1=O
CID100003292	CCN1C(=O)NC(c2ccccc2)C1=O
CID100003305	CC(O)(P(=O)(O)O)P(=O)(O)O
CID100003308	CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
CID100003310	COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
CID100003324	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
CID100003325	NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
CID100003331	NC(=O)OCC(COC(N)=O)c1ccccc1
CID100003333	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
CID100003339	CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
CID100003340	Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
CID100003342	CC(C(=O)O)c1cccc(Oc2ccccc2)c1
CID100003345	CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
CID100003348	CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
CID100003350	CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
CID100003354	Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O
CID100003355	O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
CID100003363	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
CID100003364	Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
CID100003365	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
CID100003366	Nc1[nH]c(=O)ncc1F
CID100003367	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
CID100003368	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
CID100003370	C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CID100003372	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CID100003373	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
CID100003375	C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CID100003379	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CID100003380	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
CID100003381	C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CID100003382	CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
CID100003384	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CID100003385	O=c1[nH]cc(F)c(=O)[nH]1
CID100003386	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
CID100003387	C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CID100003388	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CID100003392	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CID100003393	CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
CID100003394	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
CID100003397	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
CID100003399	C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF
CID100003403	CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
CID100003404	COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
CID100003405	Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1
CID100003406	Cc1cn[nH]c1
CID100003410	COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
CID100003414	O=C(O)P(=O)(O)O
CID100003417	C[C@@H]1O[C@@H]1P(=O)(O)O
CID100003419	CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C
CID100003425	C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
CID100003440	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
CID100003446	NCC1(CC(=O)O)CCCCC1
CID100003449	COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
CID100003454	Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
CID100003461	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
CID100003462	CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC/C=C/C(=O)OC
CID100003463	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
CID100003467	CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
CID100003475	Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1
CID100003476	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O
CID100003478	Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
CID100003488	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
CID100003494	C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-]
CID100003510	CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2
CID100003512	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
CID100003516	COc1ccccc1OCC(O)CO
CID100003517	OCC1OC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
CID100003519	NC(N)=NC(=O)Cc1c(Cl)cccc1Cl
CID100003520	NC(N)=[NH2+]
CID100003553	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
CID100003559	O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CID100003598	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
CID100003623	CN1[C@@H]2CC[C@H]1CC(OC(=O)C(O)c1ccccc1)C2
CID100003636	CCCC[N+]1(C)[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-]
CID100003637	NNc1nncc2ccccc12
CID100003639	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
CID100003640	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CID100003642	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CID100003647	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
CID100003648	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
CID100003652	CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
CID100003657	NC(=O)NO
CID100003658	OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CID100003661	CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
CID100003672	CC(C)Cc1ccc(C(C)C(=O)O)cc1
CID100003675	NNCCc1ccccc1
CID100003676	CCN(CC)CC(=O)Nc1c(C)cccc1C
CID100003685	CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
CID100003687	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
CID100003690	O=P1(NCCCl)OCCCN1CCCl
CID100003696	CN(C)CCCN1c2ccccc2CCc2ccccc21
CID100003702	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
CID100003706	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
CID100003715	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CID100003724	CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
CID100003730	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
CID100003734	C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I
CID100003736	COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I
CID100003737	[Na]
CID100003738	CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I
CID100003739	O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I
CID100003741	O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I
CID100003742	CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I
CID100003743	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I
CID100003746	CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
CID100003749	CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CID100003750	CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
CID100003759	Cc1cc(C(=O)NNCc2ccccc2)no1
CID100003763	FC(F)OC(Cl)C(F)(F)F
CID100003767	NNC(=O)c1ccncc1
CID100003777	CC(C)O
CID100003779	CC(C)NCC(O)c1ccc(O)c(O)c1
CID100003780	O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
CID100003783	CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1
CID100003784	COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
CID100003793	CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
CID100003821	CNC1(c2ccccc2Cl)CCCCC1=O
CID100003823	CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CID100003825	CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
CID100003826	O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
CID100003827	CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
CID100003830	c1coc(CNc2ncnc3nc[nH]c23)c1
CID100003869	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
CID100003872	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
CID100003877	Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
CID100003878	Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
CID100003883	Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
CID100003890	CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
CID100003899	Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
CID100003902	N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
CID100003911	CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1
CID100003914	CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O
CID100003915	C[C@@H]1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1
CID100003916	COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
CID100003918	CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13
CID100003928	CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1
CID100003929	CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
CID100003937	NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
CID100003938	CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
CID100003939	[Li+].[OH-]
CID100003948	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
CID100003950	O=NN(CCCl)C(=O)NC1CCCCC1
CID100003954	CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
CID100003957	CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
CID100003958	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
CID100003961	CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CID100003962	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CID100003964	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
CID100003998	NCc1ccc(S(N)(=O)=O)cc1
CID100004004	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
CID100004011	CNCCCC12CCC(c3ccccc31)c1ccccc12
CID100004030	COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
CID100004031	CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
CID100004032	CNC1(C)C2CCC(C2)C1(C)C
CID100004033	N#N
CID100004034	Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
CID100004036	Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
CID100004042	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
CID100004043	CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
CID100004046	O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1
CID100004048	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
CID100004051	Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
CID100004053	N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
CID100004054	CC12CC3CC(C)(C1)CC(N)(C3)C2
CID100004057	C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
CID100004058	CCOC(=O)C1(c2ccccc2)CCN(C)CC1
CID100004060	CCC1(c2ccccc2)NC(=O)N(C)C1=O
CID100004062	Cc1cccc(C)c1NC(=O)C1CCCCN1C
CID100004064	CCCC(C)(COC(N)=O)COC(N)=O
CID100004075	Nc1ccc(O)c(C(=O)O)c1
CID100004086	CC(C)NCC(O)c1cc(O)cc(O)c1
CID100004091	CN(C)C(=N)N=C(N)N
CID100004095	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
CID100004101	C1N2CN3CN1CN(C2)C3
CID100004107	COc1ccccc1OCC(O)COC(N)=O
CID100004112	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CID100004114	COc1c2occc2cc2ccc(=O)oc12
CID100004120	C[N+]1(C)[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
CID100004121	CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
CID100004138	C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
CID100004139	[CH2]
CID100004140	CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
CID100004158	COC(=O)C(c1ccccc1)C1CCCCN1
CID100004159	C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
CID100004160	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CID100004163	CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
CID100004168	CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
CID100004170	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
CID100004171	COCCc1ccc(OCC(O)CNC(C)C)cc1
CID100004173	Cc1ncc([N+](=O)[O-])n1CCO
CID100004174	CC(C)(C(=O)c1cccnc1)c1cccnc1
CID100004178	Cc1cccc(C)c1OCC(C)N
CID100004184	CN1CCN2c3ccccc3Cc3ccccc3C2C1
CID100004189	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
CID100004192	Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
CID100004195	COc1ccc(OC)c(C(O)CNC(=O)CN)c1
CID100004196	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
CID100004197	Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
CID100004201	N=c1nc(N2CCCCC2)cc(N)n1O
CID100004205	CN1CCN2c3ncccc3Cc3ccccc3C2C1
CID100004211	Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
CID100004212	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
CID100004235	O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
CID100004236	NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
CID100004240	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
CID100004248	CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
CID100004253	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
CID100004259	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CID100004264	C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
CID100004271	COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
CID100004274	CCOCCP(CCOCC)CCP(CCOCC)CCOCC
CID100004409	COc1ccc2cc(CCC(C)=O)ccc2c1
CID100004411	CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2
CID100004419	Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
CID100004421	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
CID100004422	C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
CID100004425	C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
CID100004428	O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
CID100004432	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O
CID100004436	c1ccc2c(CC3=NCCN3)cccc2c1
CID100004440	CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1
CID100004443	CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
CID100004449	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
CID100004450	CN1CCOC(c2ccccc2)c2ccccc2C1
CID100004451	Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
