drug_name,adr_text,smiles
AUGMENTIN,Rena. Pyelonephritis. colic. acute. Thrombocytopenia. failur. Petechiae,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-].[K+]
AUGMENTIN XR,hypersensitivity. Dru,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-].[K+]
AVAMYS,Opti. Visua. acuit. Intraocula. atrophy. pressur. reduced. increased,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)C5=CC=CO5)C)O)F)C)F
AVANDAMET,Cardia. disease. accident. ischaemi. arter. Aorti. Death. attack. Cerebrovascula. failur. aneurysm. occlusion. congestive. Transien. Coronar,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
AVANDIA,arter. Myocardia. failur. disorder. occlusion. degree. Coronar. ischaemi. fibrillation. Atrioventricula. carcinoma. secon. unstable. Atria. effusion. disease. Aorti. Hypotension. cardiomyopathy. Cerebrovascula. Angin. Pancreati. Advers. congestive. Ischaemi. Cardia. accident. Death. infarction. bloc. attack. pectoris. event. aneurysm. Pleura. Transien,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
AVAPRO,zoster. Herpe,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
AVEED,Paraesthesia. a. Dyspnoe. Ocula. Dyspnoea. rest. hyperaemia,CCCCCCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
AVELOX,Anxiety. Pneumoni. pulmonar. Endometriosis. Influenza. Rhiniti. Hypercholesterolaemia. cancer. Ligamen. sprain. Deafness. Abdomina. Q. Tinnitus. hernia. Hypertension. Acut. Gastroenteritis. Chroni. pain. Umbilica. coug. Electrocardiogra. prolonged. disease. Vomiting. sinusitis. allergic. Upper-airwa. Dru. syndrome. Gastrointestina. obstructiv. bacterial. Hypersensitivity. Cough. Breas. Diarrhoea. Bronchitis. hypersensitivity. toxicity. Asthma. Myxoedema,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.Cl
AVLOCARDYL,Rena. Normochromi. anaemia. normocyti. Haematoma. Flan. Haemorrhage. acute. failur. pain,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl
AVODART,Depression. disorder. Coronar. Diseas. Bladde. block. progression. Atrioventricula. Dysuria. Headache. pain. Psychoti. sten. Genita. arteria. insertion. Nocturia. Death. Cathete. Pain. placement. Nasopharyngitis,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C
AVOLVE,disease. lun. Ascites. Interstitia. Asthenia. Encephalopathy,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C
AXIRON,fractio. arter. Sinu. tachycardia. failur. occlusion. Coronar. Slee. fibrillation. Hypertension. Acut. Ventricula. bradycardia. acute. Atria. arrest. increased. Lef. disease. Fatigue. myocardia. atria. cardiomyopathy. dilatation. Respirator. decreased. syndrome. congestive. Hyponatraemia. Ischaemi. Cardia. apnoe. Hear. infarction. Hypogonadism. failure. Ejectio. rat,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
AZACITIDINE,Pyelonephritis. Lowe. Pericardia. effusion. infection. Febril. Rena. colic. Haematoma. haemorrhage. Escherichi. neutropenia. pain. gastrointestina. Abdomina. Anaemia,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N
AZANTAC,relate. Hypotension. Prurigo. Headache. pain. Infusio. Ches. reaction,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C.Cl
AZATHIOPRINE,pregnancy. defect. congenital. statu. Cerebra. Escherichi. Atria. Psychoti. Vomiting. incomplete. Dru. Gastroenteriti. Diarrhoea. effec. septa. Insomnia. convulsion. Pyrexia. haemorrhage. Dyspnoea. Haemangiom. distress. ductu. Purging. Posterio. Gran. Rena. ineffective. Prematur. decreased. bowe. Hypersensitivity. Bronchitis. nervou. impairment. Cushingoid. HELL. oedema. Paten. nodosum. ma. disorder. veno-occlusiv. zoster. Tuberculosi. birt. Decrease. Brai. system. disease. Subarachnoi. Therapeuti. Lupus-lik. Fatigue. Serositis. arteriosus. encephalopath. Inflammator. durin. Bloo. Performanc. Nausea. Moo. respons. Wheezing. Arthropathy. appetite. Exposur. Herpe. Pulmonar. alveola. Live. reversibl. o. Dermatitis. increased. weigh. Respirator. pressur. baby. coli. syndrome. Erythem. centra. intolerance. Lo. swings,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
AZILECT,state. Dyspnoea. Depression. disorder. Diseas. peripheral. Confusiona. Hypertension. progression. Movemen. ventricula. Hyperhidrosis. Righ. Musculoskeleta. increased. pressur. Bloo. Dyskinesia. failure. Tremor. stiffness. Oedem,CS(=O)(=O)O.C#CCN[C@@H]1CCC2=CC=CC=C12
AZILVA,Death,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O
AZITHROMYCIN,Anxiety. Pneumoni. pulmonar. Endometriosis. Dysstasia. lim. Influenza. Haemoptysis. Rhiniti. Dyspnoea. fiel. defect. Hypercholesterolaemia. Depression. Anhedonia. cancer. Ligamen. sprain. Abdomina. Pulmonar. deterioration. Emotiona. hernia. fracture. Hypertension. Acut. distress. Gastroenteritis. Headache. Chroni. pain. Brai. Umbilica. Injury. coug. Uppe. disease. Vomiting. Genera. Fatigue. sinusitis. Gai. disturbance. Visua. allergic. Upper-airwa. healt. Myalgia. Cerebrovascula. syndrome. embolism. Gastrointestina. obstructiv. bacterial. accident. Hypersensitivity. Death. Cough. Breas. Rash. Diarrhoea. Bronchitis. Pain. physica. injury. toxicity. Asthma. Myxoedema,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
AZTREONAM,hypersensitivity. Dru,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N
AZTREONAM LYSINE,transplant. Lun,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N.C(CCN)C[C@@H](C(=O)O)N
AZUNOL,Dysgeusia. Ageusia. Hyposmia,CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C
B-12,respons. Therapeuti. unexpected,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC\4(C(C5C6(C(C(C(=N6)/C(=C\7/C(C(C(=N7)/C=C\8/C(C(C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+2]
B12,Mobilit. mood. Visio. i. disorder. Malaise. Feelin. Arthralgia. abnormal. increased. Depresse. Psychoti. Unevaluabl. Fatigue. mouth. Gai. Suicida. disturbance. Dru. leve. decreased. Asthenia. Pneumonia. extremity. ideation. Dr. blurred. Pain. Apathy. event. Pai,CC(C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)C6=CC=C(C=C6)C(=O)O)C)NCCN7C[C@@H]8C[C@H]7CS8(=O)=O
BACICOLINE,Dyspepsia. Pyrexia. Sensor. Iridocyclitis. disturbance. Dysuria. Myalgia,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O
BACLOFEN,Muscula. Visio. Neuropath. progressiv. Muscl. Stress. Overdose. Immunodeficiency. Atrophi. consciousness. cel. abnormal. Paraesthesia. Vomiting. trac. Transfusion. Dru. Intraocula. Gastroenteriti. Advers. spasms. Cardia. Rash. ataxia. Diplopia. Insomnia. viral. present. Menta. Sputu. Dyspnoea. Balanc. Pruritus. progression. Non-smal. multipl. Haemoglobi. Blindnes. unilateral. infection. Ageusia. ineffective. stimuli. Gai. decreased. Unresponsiv. discomfort. papular. Hypersensitivity. blurred. Cough. Pain. impairment. Ras. glossitis. Dizziness. Weigh. Erythema. disorder. Abdomina. Diseas. peripheral. sclerosis. Gastroenteritis. Hyperhidrosis. arrest. Flushing. twitching. Cerebella. Fatigue. disturbance. Alopecia. Retching. Wound. Diverticulitis. weakness. Asthenia. Bloo. Pneumonia. Nausea. sensation. Constipation. event. use. Influenza. Trichorrhexis. Urinar. Depression. t. cancer. Los. Emotiona. Dehydration. labe. Headache. pain. o. increased. Secondar. urin. Fall. lun. Burnin. pressur. Pharyngitis. Chills. Convulsion. Of,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
BACTRIM,. pregnancy. Foreig. Muscula. Febril. Autoimmun. Immunodeficiency. Temperatur. Feelin. devic. Cardio-respirator. device. acuit. Medica. Patient-devic. reduced. Multipl. Paraesthesia. trac. Dru. monitorin. lower. reproductiv. Ectopi. Gastrointestina. Tempora. Devic. Scar. haemorrhage. pai. Rupture. incompatibility. pregnanc. Subcutaneou. dos. Acne. Palpitations. Hepati. Dysuria. no. Papilloedema. Dysmenorrhoea. infection. ineffective. Furuncle. Gai. sclerosi. Visua. decreased. ectopi. Seborrhoei. discomfort. enzym. Pain. Vagina. arteritis. Cataract. Dizziness. Weigh. Pollakiuria. performed. disorder. Glaucoma. Nephrogeni. Abdomina. procedur. Pelvi. contraceptiv. neutropenia. Haemorrhag. arrest. error. Fatigue. tract. disturbance. dislocation. Genita. Tachycardia. weakness. Asthenia. Bloo. Nausea. wit. dermatitis. relapse. fibrosis. Constipation. Vitami. retention. i. Depression. Urinar. systemi. bod. omission. Dehydration. Menorrhagia. pain. increased. Hyperkalaemia. deficiency. alkalin. phosphatas. Blindness. abscess. hot. motilit. Migraine. hypersensitivity. intolerance,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
BACTRIM DS,sinu. Intracrania. Scar. Agraphia. ability. Weigh. Stress. Speec. disorder. Malaise. Abdomina. Fear. deterioration. drivin. Los. Activitie. Hypothyroidism. consciousness. Cerebra. venou. Impaire. Injury. pain. o. Moto. increased. livin. Genera. Gai. Amnesia. disturbance. healt. Bac. dail. dysfunction. Nausea. Seizure. impaired. thrombosis. Migraine. physica. Pain. Paralysis. Frustration,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
BACTROBAN NASAL,infection. difficil. Clostridiu,C[C@@H]([C@@H](O)C)[C@@H]1O[C@H]1C[C@@H]2[C@H]([C@H]([C@@H](OC2)C/C(=C/C(=O)OCCCCCCCCC(=O)[O-])/C)O)O.C[C@@H]([C@@H](O)C)[C@@H]1O[C@H]1C[C@@H]2[C@H]([C@H]([C@@H](OC2)C/C(=C/C(=O)OCCCCCCCCC(=O)[O-])/C)O)O.[Ca+2]
BAKTAR,. Cytomegaloviru. Pyrexia. thrive. Febril. Corynebacteriu. Failur. inappropriat. associate. belo. t. heigh. disorder. antibod. positive. Bod. viru. Hepati. Adenovira. Hepatiti. neutropenia. abnormal. functio. o. haemorrhagi. cystitis. sepsis. patien. administere. eruption. age. Dru. tes. lymphoproliferativ. Epstein-Bar. normal,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
BANZEL,Convulsion,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F
BARACLUDE,phosphokinas. Bloo. Hear. Palpitations. Musculoskeleta. decreased. pain. potassiu. Ches. creatin. rat. increased,C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2N=C(NC3=O)N
BARNIDIPINE HYDROCHLORIDE,Urticaria. Bronchospasm,CC1=C([C@@H](C(=C(N1)C)C(=O)O[C@H]2CCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC.Cl
BASEN,Death,C1[C@@H]([C@@H]([C@H]([C@@H]([C@]1(CO)O)O)O)O)NC(CO)CO
BECILAN,relate. Hypotension. Prurigo. Headache. pain. Infusio. Ches. reaction,CC1=NC=C(C(=C1O)CO)CO.Cl
BECLOMETHASONE DIPROPIONATE,peripheral. i. Pai. Chillblains. extremity. Oedem,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC
BECONASE AQ,Pancreati. carcinoma,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC
BELOC,Cardia. Arrhythmia. urin. Lun. infection. Asthenia. present. Hypertension. Dyspnoea. failure. Epistaxis. Bloo. Blindness,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
BENADRYL,Febril. hernia. Toxicit. neglect. agents. carcinoma. Dru. variou. t. scar. hypersensitivity. Dehydration. neutropenia. Pancreati. Umbilica. Keloi. Chil,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
BENAZEPRIL,administratio. pulmonar. Dyspnoea. Urinar. Myocardia. Coronar. Chroni. abnormal. disease. sten. error. ineffective. infection. trac. Dru. Wound. arteria. insertion. tes. obstructiv. infarction. Laborator,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCC3=CC=CC=C3N(C2=O)CC(=O)O
BENAZEPRIL HYDROCHLORIDE,interaction. Gastrointestina. Gastri. Smal. haemorrhage. Dru. intestina,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl
BENDAMUSTINE,Melaena. Pyrexia. Ataxia. Malignan. progression. Pancytopenia. neoplas. lesion. Encephalitis. Ski,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O
BENDAMUSTINE HYDROCHLORIDE,Circulator. collapse,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl
BENDROFLUMETHIAZIDE,Arrhythmia. convulsion. Muscula. Mobilit. Weigh. fibr. Transaminase. ma. Malaise. palsy. Withdrawa. Los. nerv. consciousness. loss. o. Gran. increased. Sensor. Smal. Cerebrovascula. decreased. weakness. syndrome. neuropathy. accident. Peronea. Dysgeusia. Leukoencephalopathy,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
BENICAR,. use. administratio. Dizziness. mellitus. diabete. neoplasm. disorder. omission. Treatmen. Pruritus. dos. Whit. Hypertension. cel. Platele. Headache. labe. abnormal. noncompliance. increased. Typ. error. Dru. Contusion. coun. removal. tes. Metrorrhagia. Hypersensitivity. Death. Ey. Rash. Thyroi. Pain. nodul. Constipation. Of. Laborator. bloo,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O
BENICAR HCT,haemorrhage. disorder. omission. Treatmen. dos. Whit. Hypertension. cel. Platele. abnormal. noncompliance. increased. interaction. Dru. Contusion. coun. tes. Gastrointestina. Ey. Pain. Laborator. bloo,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O.C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
BENTYL,Urticaria. ischaemi. Muscula. Dru. Rash. attack. hypersensitivity. weakness. Transien,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
BENZODIAZEPINES,Menta. Dyspnoea. Speec. disorder. effec. Toot. Epilepsy. Cognitiv. deterioration. Anticonvulsan. epilepticus. Li. loss. dru. syste. Centra. o. discolouration. Genera. lif. Affec. Fall. Gai. disturbance. lesion. Dru. healt. Disorientation. leve. decreased. lability. syndrome. Statu. physica. withdrawa. nervou. impairment. Convulsion. Qualit. Ski,C1=CC=C2C(=C1)C=CC=NN2
BENZONATATE,Pyrexia. mellitus. Bon. Urinar. Neutropenia. Tonsillitis. cough. Pharyngea. Phlebitis. unexpected. Tonsilla. Leukopenia. erythema. infection. Therapeuti. Diabete. trac. discharge. Thrombocytopenia. marro. Odynophagia. Lymphadenopathy. Productiv. Purulen. Pancytopenia. Cough. respons. failure. hypertrophy,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
BERAPROST,Pulmonar. disease. oedema. Therapeuti. ineffective. Dyspnoea. haemorrhage. Dru. distress. alveola. respons. Respirator. veno-occlusiv. decreased,CC#CCC(C)C(/C=C/C1C(CC2C1C3=CC=CC(=C3O2)CCCC(=O)O)O)O
BERLTHYROX,Lowe. gastrointestina. haemorrhage,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)[O-])N.[Na+]
BEROTEC,flutter. Atria,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
BETAMETHASONE,Paten. pregnancy. Exposur. Weigh. defect. disorder. epiderma. Haemangiom. congenital. necrolysis. ductu. Eatin. Atria. nutrition. arteriosus. durin. septa. decreased. syndrome. Dysgeusia. HELL. Toxi. Parentera,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
BETAMETHASONE VALERATE,Cardia. Paraesthesi. spasms. Depresse. Anxiety. mood. oral. Muscl. arrest,CCCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO
BETANIS,abnormal. functio. Hepati,C1=CC=C(C=C1)[C@H](CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O
BETHANECHOL CHLORIDE,Fall. Muscula. weakness,CC(C[N+](C)(C)C)OC(=O)N.[Cl-]
BEYAZ,deterioration. Anxiety. Periphera. swelling. Genera. Subclavia. Emotiona. thrombosis. Dee. physica. distress. healt. Pain. vei. Axillar. Injury. pain. Abdomina,C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O.CN1[C@H](CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2]
BEZAFIBRATE,patien. normal. administere. thrive. Failur. inappropriat. age. Dru. belo. t. heigh. Bod. o,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl
BIAXIN,spasms. Whit. Dru. Muscl. cel. Neutropenia. hypersensitivity. Infection. decreased. coun. bloo. Pneumonia. Presyncope,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
BIBW 2992,C-reactiv. protei. Bloo. creatinin. Pyrexia. effusion. Weigh. Diarrhoea. Pleura. Dysuria. pain. decreased. Asthenia. Abdomina. increased,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4
BICALUTAMIDE,use. twitching. Dizziness. Hypersensitivity. upper. tenderness. oral. pai. Muscl. Breas. Hypoaesthesi. labe. Headache. Regurgitation. Of. Abdomina. Nausea,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
BIDIL,haemorrhage. systoli. pressur. Bloo. gangli. Basa. increased,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-].C1=CC=C2C(=C1)C=NN=C2NN.Cl
BIOTIN,Anxiety. Subclavia. Weigh. Dee. psoriasis. Abdomina. Spondylitis. deterioration. Nasa. swelling. Emotiona. fracture. statu. distress. Pustula. vei. Injury. pain. o. increased. Blister. Genera. lif. congestion. Onychomadesis. Ri. Gai. disturbance. Psoriasis. Alopecia. healt. Fall. Axillar. decreased. Performanc. Malnutrition. Advers. Periphera. thrombosis. physica. Pain. Constipation. Qualit. event,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
BIPRETERAX,Anxiety. Stereotypy. Abnorma. disorder. Impulse-contro. behaviour. Psychomoto. hyperactivity,CCC[C@@H](C(=O)OCC)N[C@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O.CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
BISACODYL,convulsion. Muscula. nerv. Peronea. Mobilit. Sensor. weakness. loss. ma. palsy. decreased. Gran. Leukoencephalopathy,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
BISOPROLOL,Hallucination. acidosis. Muscula. Muscl. contraction. Incorrec. Infection. swelling. involuntary. consciousness. acute. dru. discolouration. Paraesthesia. trac. Vertigo. infarction. Rash. attack. Nightmare. Ski. state. Arrhythmia. Pyrexia. convulsion. present. upper. pai. overdose. Multi-orga. dos. Q. Subcutaneou. ischaemi. Hepati. bradycardia. residu. Dysarthria. Gran. Electrocardiogra. Rena. infection. Oesophagea. Posticta. Lymphoma. failure. Transien. Cardiogeni. Dizziness. Sinu. ma. failur. administered. Abdomina. misuse. Of. prolonged. Osteonecrosi. Metastase. Anaemia. Hypoaesthesia. Hypotension. Myalgia. weakness. Asthenia. shock. haematoma. bone. Diverticulum. use. t. Urinar. Myocardia. Ches. Oesophagitis. Los. Intentiona. Medicatio. Haematochezia. labe. pain. Metaboli. o. Haematuria. Dysphagia. jaw. Loca. chronic,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
BISOPROLOL FUMARATE,Dizziness. prescribin. vein. Muscl. Depression. Feelin. peripheral. Varicos. Urticaria. Arthralgia. abnormal. maculo-papular. Erysipelas. twitching. Fatigue. error. Dru. Myalgia. Asthenia. Nausea. spasms. Cough. Diarrhoea. Ras. Oedem,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=C/C(=O)O)\C(=O)O
BOCEPREVIR,Death,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C
BONIVA,Vomiting. Bon. Arthralgia. Diarrhoea. Headache. densit. event. decreased. Advers. Nausea. Thrombosis,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
BORTEZOMIB,Lun. Febril. Toxicit. Dee. t. Neutropenia. disorder. Hepatotoxicity. Infection. fibrillation. variou. cel. vei. neutropenia. Atria. myeloma. Syncope. Plasm. Myelodysplasti. agents. adenocarcinoma. syndrome. Pneumonia. Gastrointestina. Hepatorena. Sepsis. Amaurosi. Death. thrombosis. Diarrhoea. Constipation. fugax,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
BOSENTAN,C-reactiv. protei. oedema. Hypoproteinaemia. Pyrexia. Biops. Erythema. Dyspnoea. haemorrhage. veno-occlusiv. Ches. Pulmonar. peripheral. Systemi. distress. alveola. Lupu. pain. increased. effusion. disease. Therapeuti. ineffective. kidney. Dru. Nephroti. Respirator. lupu. decreased. syndrome. Pneumonia. nephritis. erythematosus. respons. Pleura. Oedem,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
BRILINTA,arter. Weigh. haemorrhage. Dyspnoea. coronar. failur. occlusion. restenosis. Coronar. Arteriogra. Melaena. stres. Slee. acute. Haemoglobi. abnormal. maculo-papular. increased. Rena. Hypotension. Nervousness. Retroperitonea. Thrombocytopenia. pressur. decreased. Bloo. syndrome. tes. Cardia. creatinin. apnoe. Ey. Ras,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F
BRILIQUE,use. upper. pai. Incorrec. Myocardia. Infection. administered. Abdomina. Oesophagitis. dos. misuse. Intentiona. Hepati. labe. pain. dru. Vertigo. Oesophagea. Lymphoma. infarction. Of,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F
BRIMONIDINE,Menta. statu. changes. Pain,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
BROMAZEPAM,Suicid. Intentiona. live. injury. overdose. attempt. Drug-induce,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
BROMOCRIPTINE,gambling. Pathologica. disorder. Impulse-contro,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
BUDEPRION,ineffective. Dyspnoea. Dru,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
BUDESONIDE,Anxiety. Pyrexia. Join. pulmonar. Bon. Dyspnoea. Stress. Neutropenia. Tonsillitis. cough. swelling. Pharyngea. Phlebitis. Tonsilla. Leukopenia. Chroni. erythema. Macroglossia. disease. discharge. Emphysema. Thrombocytopenia. marro. Odynophagia. decreased. Lymphadenopathy. saturatio. Productiv. Purulen. Oxyge. obstructiv. Pancytopenia. Cough. Bronchitis. face. failure. hypertrophy. Wheezing. Swellin,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C
